"group","species_name","indval","pval","padj","freq"
1,"Abudefduf concolor",0.446720771896626,0.001,1,58
1,"Abudefduf concolor",0.29323048879401,0.001,1,30
1,"Abudefduf concolor",0.289473684210526,0.001,1,11
1,"Abudefduf concolor",0.289473684210526,0.001,1,11
1,"Abudefduf concolor",0.289473684210526,0.001,1,11
1,"Abudefduf concolor",0.288474167971267,0.001,1,14
1,"Abudefduf concolor",0.269752612081522,0.001,1,14
1,"Abudefduf concolor",0.263157894736842,0.001,1,10
1,"Abudefduf concolor",0.262930962408063,0.001,1,11
1,"Abudefduf concolor",0.262624930925085,0.001,1,12
1,"Abudefduf concolor",0.261686828291093,0.001,1,12
1,"Abudefduf concolor",0.236842105263158,0.001,1,9
1,"Abudefduf concolor",0.224033689026614,0.001,1,17
1,"Abudefduf concolor",0.210526315789474,0.001,1,8
1,"Abudefduf concolor",0.210526315789474,0.001,1,8
1,"Abudefduf concolor",0.210526315789474,0.001,1,8
1,"Abudefduf concolor",0.17135778760107,0.002,1,50
1,"Abudefduf concolor",0.167169082330713,0.001,1,8
1,"Abudefduf concolor",0.166642939311428,0.007,1,12
1,"Abudefduf concolor",0.140098310595994,0.003,1,12
1,"Abudefduf concolor",0.134798828740718,0.006,1,15
1,"Abudefduf concolor",0.131578947368421,0.001,1,5
1,"Abudefduf concolor",0.130384678468034,0.003,1,12
1,"Abudefduf concolor",0.126379114441643,0.004,1,27
1,"Abudefduf concolor",0.121168477410063,0.001,1,6
1,"Abudefduf concolor",0.121090356177015,0.017,1,33
1,"Abudefduf concolor",0.119907138642293,0.006,1,11
1,"Abudefduf concolor",0.119844596318696,0.004,1,8
1,"Abudefduf concolor",0.117043590655581,0.003,1,7
1,"Abudefduf concolor",0.112624708723326,0.019,1,41
1,"Abudefduf concolor",0.105937893886493,0.013,1,12
1,"Abudefduf concolor",0.105263157894737,0.002,1,4
1,"Abudefduf concolor",0.105263157894737,0.001,1,4
1,"Abudefduf concolor",0.105263157894737,0.003,1,4
1,"Abudefduf concolor",0.101049191861017,0.017,1,16
1,"Abudefduf concolor",0.100176742805488,0.013,1,23
1,"Abudefduf concolor",0.0982823189797681,0.002,1,9
1,"Abudefduf concolor",0.0975753991720875,0.006,1,8
1,"Abudefduf concolor",0.0939101120589324,0.009,1,6
1,"Abudefduf concolor",0.0932069938132842,0.005,1,7
1,"Abudefduf concolor",0.092652557776655,0.037,1,28
1,"Abudefduf concolor",0.0921390009233844,0.009,1,11
1,"Abudefduf concolor",0.0874102098092306,0.029,1,7
1,"Abudefduf concolor",0.0864541561781958,0.037,1,18
1,"Abudefduf concolor",0.0792429264174745,0.01,1,8
1,"Abudefduf concolor",0.0789473684210526,0.01,1,3
1,"Abudefduf concolor",0.0789473684210526,0.012,1,3
1,"Abudefduf concolor",0.0789473684210526,0.014,1,3
1,"Abudefduf concolor",0.0789473684210526,0.006,1,3
1,"Abudefduf concolor",0.0789473684210526,0.013,1,3
1,"Abudefduf concolor",0.0789473684210526,0.015,1,3
1,"Abudefduf concolor",0.0789473684210526,0.015,1,3
1,"Abudefduf concolor",0.0789473684210526,0.01,1,3
1,"Abudefduf concolor",0.0789473684210526,0.013,1,3
1,"Abudefduf concolor",0.0789473684210526,0.015,1,3
1,"Abudefduf concolor",0.0788237771328652,0.015,1,8
1,"Abudefduf concolor",0.0783728758894555,0.029,1,4
1,"Abudefduf concolor",0.0778407656914326,0.016,1,4
1,"Abudefduf concolor",0.0768835498972944,0.045,1,8
1,"Abudefduf concolor",0.0767110657747612,0.02,1,4
1,"Abudefduf concolor",0.076259543598186,0.028,1,6
1,"Abudefduf concolor",0.0754679996079584,0.029,1,5
1,"Abudefduf concolor",0.075103678478708,0.025,1,4
1,"Abudefduf concolor",0.0749298390472291,0.044,1,7
1,"Abudefduf concolor",0.0746846847147902,0.031,1,17
1,"Abudefduf concolor",0.0742226842297714,0.015,1,16
1,"Abudefduf concolor",0.0739932095862619,0.019,1,13
1,"Abudefduf concolor",0.0738342777383721,0.019,1,9
1,"Abudefduf concolor",0.0736029503687961,0.046,1,5
1,"Abudefduf concolor",0.0720013439828241,0.047,1,5
1,"Abudefduf concolor",0.0719206090457277,0.03,1,10
1,"Abudefduf concolor",0.0713137806347931,0.014,1,4
1,"Abudefduf concolor",0.0710046803662325,0.026,1,5
1,"Abudefduf concolor",0.0708502024291498,0.03,1,4
1,"Abudefduf concolor",0.0705808345565108,0.041,1,4
1,"Abudefduf concolor",0.0704010555446079,0.017,1,6
1,"Abudefduf concolor",0.0699803896761133,0.039,1,11
1,"Abudefduf concolor",0.0688463583200425,0.032,1,4
1,"Abudefduf concolor",0.0677011899380129,0.047,1,8
1,"Abudefduf concolor",0.0674420951708129,0.032,1,4
1,"Abudefduf concolor",0.067068142346768,0.029,1,10
1,"Abudefduf concolor",0.0661954341388862,0.032,1,5
1,"Abudefduf concolor",0.0647552981607586,0.014,1,7
1,"Abudefduf concolor",0.0636020998788531,0.035,1,5
1,"Abudefduf concolor",0.063011815784181,0.039,1,13
1,"Abudefduf concolor",0.0621604570991189,0.046,1,5
1,"Abudefduf concolor",0.061818127322863,0.045,1,11
1,"Abudefduf concolor",0.0603362811722942,0.041,1,10
1,"Abudefduf concolor",0.0586154902781177,0.048,1,12
1,"Abudefduf concolor",0.0568076763683892,0.021,1,6
1,"Abudefduf concolor",0.0547234609520145,0.036,1,5
2,"Abudefduf troschelii",0.314285714285714,0.001,1,11
2,"Abudefduf troschelii",0.314285714285714,0.001,1,11
2,"Abudefduf troschelii",0.314285714285714,0.001,1,11
2,"Abudefduf troschelii",0.314285714285714,0.001,1,11
2,"Abudefduf troschelii",0.314285714285714,0.001,1,11
2,"Abudefduf troschelii",0.314195952806445,0.001,1,12
2,"Abudefduf troschelii",0.314144054809339,0.001,1,12
2,"Abudefduf troschelii",0.314125865415555,0.001,1,12
2,"Abudefduf troschelii",0.314093426763426,0.001,1,12
2,"Abudefduf troschelii",0.314082687338501,0.001,1,12
2,"Abudefduf troschelii",0.313939715292257,0.001,1,12
2,"Abudefduf troschelii",0.313725772766946,0.001,1,13
2,"Abudefduf troschelii",0.313672864575935,0.001,1,13
2,"Abudefduf troschelii",0.285714285714286,0.001,1,10
2,"Abudefduf troschelii",0.171428571428571,0.001,1,6
2,"Abudefduf troschelii",0.155435619805955,0.003,1,154
2,"Abudefduf troschelii",0.142857142857143,0.001,1,5
2,"Abudefduf troschelii",0.140716210275481,0.006,1,111
2,"Abudefduf troschelii",0.138127544097693,0.001,1,8
2,"Abudefduf troschelii",0.114285714285714,0.001,1,4
2,"Abudefduf troschelii",0.105947100797862,0.009,1,9
2,"Abudefduf troschelii",0.0936011744465544,0.012,1,11
2,"Abudefduf troschelii",0.0934347643258534,0.009,1,49
2,"Abudefduf troschelii",0.0901106120614679,0.008,1,23
2,"Abudefduf troschelii",0.088816518253173,0.011,1,9
2,"Abudefduf troschelii",0.0857142857142857,0.008,1,3
2,"Abudefduf troschelii",0.0857142857142857,0.018,1,3
2,"Abudefduf troschelii",0.0857142857142857,0.01,1,3
2,"Abudefduf troschelii",0.0847326103216156,0.017,1,4
2,"Abudefduf troschelii",0.0820454240021502,0.03,1,5
2,"Abudefduf troschelii",0.0819526973010627,0.019,1,10
2,"Abudefduf troschelii",0.0814295298740737,0.027,1,24
2,"Abudefduf troschelii",0.0812489911061484,0.032,1,6
2,"Abudefduf troschelii",0.08018769894819,0.014,1,9
2,"Abudefduf troschelii",0.079712561373555,0.02,1,11
2,"Abudefduf troschelii",0.0784185658699278,0.017,1,5
2,"Abudefduf troschelii",0.077579527389815,0.015,1,16
2,"Abudefduf troschelii",0.0765772298767223,0.015,1,4
2,"Abudefduf troschelii",0.0752163880372781,0.037,1,34
2,"Abudefduf troschelii",0.0748839608045384,0.02,1,5
2,"Abudefduf troschelii",0.0697882040398541,0.041,1,34
2,"Abudefduf troschelii",0.0696675137277202,0.033,1,6
2,"Abudefduf troschelii",0.0614535735839296,0.031,1,5
2,"Abudefduf troschelii",0.0592715782471312,0.036,1,5
2,"Abudefduf troschelii",0.0590197477691399,0.032,1,10
2,"Abudefduf troschelii",0.0544572075715904,0.046,1,5
2,"Abudefduf troschelii",0.053125,0.04,1,4
2,"Abudefduf troschelii",0.0513766104410183,0.047,1,7
3,"Acanthurus xanthopterus",0.628071876643073,0.001,1,29
3,"Acanthurus xanthopterus",0.342857142857143,0.001,1,12
3,"Acanthurus xanthopterus",0.323959035394151,0.001,1,25
3,"Acanthurus xanthopterus",0.313870093418308,0.001,1,13
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.257142857142857,0.001,1,9
3,"Acanthurus xanthopterus",0.227632536836758,0.001,1,11
3,"Acanthurus xanthopterus",0.212490226461766,0.001,1,9
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.2,0.001,1,7
3,"Acanthurus xanthopterus",0.19981483930697,0.001,1,8
3,"Acanthurus xanthopterus",0.199796954314721,0.001,1,8
3,"Acanthurus xanthopterus",0.199775892428366,0.001,1,8
3,"Acanthurus xanthopterus",0.199664905271298,0.001,1,9
3,"Acanthurus xanthopterus",0.199582187105715,0.001,1,9
3,"Acanthurus xanthopterus",0.190170511534604,0.001,1,8
3,"Acanthurus xanthopterus",0.188587677725119,0.001,1,8
3,"Acanthurus xanthopterus",0.188235294117647,0.001,1,8
3,"Acanthurus xanthopterus",0.187568710359408,0.001,1,8
3,"Acanthurus xanthopterus",0.185443668993021,0.001,1,8
3,"Acanthurus xanthopterus",0.185272277227723,0.001,1,8
3,"Acanthurus xanthopterus",0.184848484848485,0.001,1,8
3,"Acanthurus xanthopterus",0.171428571428571,0.001,1,6
3,"Acanthurus xanthopterus",0.171352799980516,0.001,1,7
3,"Acanthurus xanthopterus",0.142857142857143,0.002,1,5
3,"Acanthurus xanthopterus",0.142857142857143,0.001,1,5
3,"Acanthurus xanthopterus",0.133338513539765,0.002,1,7
3,"Acanthurus xanthopterus",0.130280370944624,0.003,1,8
3,"Acanthurus xanthopterus",0.114285714285714,0.001,1,4
3,"Acanthurus xanthopterus",0.114285714285714,0.003,1,4
3,"Acanthurus xanthopterus",0.109016225798095,0.016,1,13
3,"Acanthurus xanthopterus",0.100174452413258,0.002,1,5
3,"Acanthurus xanthopterus",0.0857142857142857,0.008,1,3
3,"Acanthurus xanthopterus",0.0839650145772595,0.008,1,5
3,"Acanthurus xanthopterus",0.0781277384651026,0.025,1,27
3,"Acanthurus xanthopterus",0.0705814335128142,0.037,1,28
3,"Acanthurus xanthopterus",0.0587072925708824,0.05,1,16
3,"Acanthurus xanthopterus",0.0479958089784026,0.047,1,9
4,"Cephalopholis colonus",0.290243902439024,0.001,1,10
4,"Cephalopholis colonus",0.289355410999409,0.001,1,10
4,"Cephalopholis colonus",0.233333333333333,0.001,1,7
4,"Cephalopholis colonus",0.184226397587567,0.001,1,7
4,"Cephalopholis colonus",0.180444516628937,0.026,1,49
4,"Cephalopholis colonus",0.16816305035161,0.002,1,39
4,"Cephalopholis colonus",0.156399726214921,0.001,1,6
4,"Cephalopholis colonus",0.13520888771598,0.003,1,9
4,"Cephalopholis colonus",0.134431262201441,0.032,1,151
4,"Cephalopholis colonus",0.130634761297557,0.002,1,7
4,"Cephalopholis colonus",0.121054762868917,0.002,1,16
4,"Cephalopholis colonus",0.11836569579288,0.025,1,14
4,"Cephalopholis colonus",0.117787310933897,0.038,1,98
4,"Cephalopholis colonus",0.117275465281649,0.006,1,15
4,"Cephalopholis colonus",0.1,0.005,1,3
4,"Cephalopholis colonus",0.1,0.003,1,3
4,"Cephalopholis colonus",0.1,0.003,1,3
