"","group","indval","pval","freq"
"ASV_1914",1,0.446720771896626,0.001,58
"ASV_4718",1,0.29323048879401,0.001,30
"ASV_2099",1,0.289473684210526,0.001,11
"ASV_2105",1,0.289473684210526,0.001,11
"ASV_2109",1,0.289473684210526,0.001,11
"ASV_2102",1,0.288474167971267,0.001,14
"ASV_1022",1,0.269752612081522,0.001,14
"ASV_2101",1,0.263157894736842,0.001,10
"ASV_2108",1,0.262930962408063,0.001,11
"ASV_2111",1,0.262624930925085,0.001,12
"ASV_2107",1,0.261686828291093,0.001,12
"ASV_2100",1,0.236842105263158,0.001,9
"ASV_1233",1,0.224033689026614,0.001,17
"ASV_2104",1,0.210526315789474,0.001,8
"ASV_2106",1,0.210526315789474,0.001,8
"ASV_2110",1,0.210526315789474,0.001,8
"ASV_5431",1,0.17135778760107,0.002,50
"ASV_1241",1,0.167169082330713,0.001,8
"ASV_3687",1,0.166642939311428,0.007,12
"ASV_1939",1,0.140098310595994,0.003,12
"ASV_5808",1,0.134798828740718,0.006,15
"ASV_1341",1,0.131578947368421,0.001,5
"ASV_1234",1,0.130384678468034,0.003,12
"ASV_5575",1,0.126379114441643,0.004,27
"ASV_3414",1,0.121168477410063,0.001,6
"ASV_772",1,0.121090356177015,0.017,33
"ASV_5874",1,0.119907138642293,0.006,11
"ASV_3590",1,0.119844596318696,0.004,8
"ASV_2326",1,0.117043590655581,0.003,7
"ASV_5294",1,0.112624708723326,0.019,41
"ASV_4358",1,0.105937893886493,0.013,12
"ASV_2103",1,0.105263157894737,0.002,4
"ASV_5140",1,0.105263157894737,0.001,4
"ASV_5158",1,0.105263157894737,0.003,4
"ASV_5876",1,0.101049191861017,0.017,16
"ASV_3366",1,0.100176742805488,0.013,23
"ASV_2306",1,0.0982823189797681,0.002,9
"ASV_3897",1,0.0975753991720875,0.006,8
"ASV_3555",1,0.0939101120589324,0.009,6
"ASV_5866",1,0.0932069938132842,0.005,7
"ASV_3383",1,0.092652557776655,0.037,28
"ASV_3091",1,0.0921390009233844,0.009,11
"ASV_6523",1,0.0874102098092306,0.029,7
"ASV_5429",1,0.0864541561781958,0.037,18
"ASV_1235",1,0.0792429264174745,0.01,8
"ASV_1903",1,0.0789473684210526,0.01,3
"ASV_1915",1,0.0789473684210526,0.012,3
"ASV_2302",1,0.0789473684210526,0.014,3
"ASV_3855",1,0.0789473684210526,0.006,3
"ASV_4112",1,0.0789473684210526,0.013,3
"ASV_4478",1,0.0789473684210526,0.015,3
"ASV_4484",1,0.0789473684210526,0.015,3
"ASV_5112",1,0.0789473684210526,0.01,3
"ASV_5760",1,0.0789473684210526,0.013,3
"ASV_6514",1,0.0789473684210526,0.015,3
"ASV_3333",1,0.0788237771328652,0.015,8
"ASV_4552",1,0.0783728758894555,0.029,4
"ASV_4236",1,0.0778407656914326,0.016,4
"ASV_4530",1,0.0768835498972944,0.045,8
"ASV_414",1,0.0767110657747612,0.02,4
"ASV_4436",1,0.076259543598186,0.028,6
"ASV_5663",1,0.0754679996079584,0.029,5
"ASV_2533",1,0.075103678478708,0.025,4
"ASV_4577",1,0.0749298390472291,0.044,7
"ASV_3083",1,0.0746846847147902,0.031,17
"ASV_3583",1,0.0742226842297714,0.015,16
"ASV_4633",1,0.0739932095862619,0.019,13
"ASV_6259",1,0.0738342777383721,0.019,9
"ASV_4584",1,0.0736029503687961,0.046,5
"ASV_3780",1,0.0720013439828241,0.047,5
"ASV_2632",1,0.0719206090457277,0.03,10
"ASV_3296",1,0.0713137806347931,0.014,4
"ASV_2490",1,0.0710046803662325,0.026,5
"ASV_2325",1,0.0708502024291498,0.03,4
"ASV_3589",1,0.0705808345565108,0.041,4
"ASV_4497",1,0.0704010555446079,0.017,6
"ASV_3144",1,0.0699803896761133,0.039,11
"ASV_3488",1,0.0688463583200425,0.032,4
"ASV_4572",1,0.0677011899380129,0.047,8
"ASV_3695",1,0.0674420951708129,0.032,4
"ASV_5858",1,0.067068142346768,0.029,10
"ASV_4085",1,0.0661954341388862,0.032,5
"ASV_862",1,0.0647552981607586,0.014,7
"ASV_3510",1,0.0636020998788531,0.035,5
"ASV_3193",1,0.063011815784181,0.039,13
"ASV_2316",1,0.0621604570991189,0.046,5
"ASV_5586",1,0.061818127322863,0.045,11
"ASV_3673",1,0.0603362811722942,0.041,10
"ASV_3669",1,0.0586154902781177,0.048,12
"ASV_4450",1,0.0568076763683892,0.021,6
"ASV_857",1,0.0547234609520145,0.036,5
"ASV_2088",2,0.314285714285714,0.001,11
"ASV_2092",2,0.314285714285714,0.001,11
"ASV_2093",2,0.314285714285714,0.001,11
"ASV_2096",2,0.314285714285714,0.001,11
"ASV_2161",2,0.314285714285714,0.001,11
"ASV_2090",2,0.314195952806445,0.001,12
"ASV_2097",2,0.314144054809339,0.001,12
"ASV_2091",2,0.314125865415555,0.001,12
"ASV_2095",2,0.314093426763426,0.001,12
"ASV_2089",2,0.314082687338501,0.001,12
"ASV_2094",2,0.313939715292257,0.001,12
"ASV_2087",2,0.313725772766946,0.001,13
"ASV_2098",2,0.313672864575935,0.001,13
"ASV_2160",2,0.285714285714286,0.001,10
"ASV_1006",2,0.171428571428571,0.001,6
"ASV_146",2,0.155435619805955,0.003,154
"ASV_1853",2,0.142857142857143,0.001,5
"ASV_5026",2,0.140716210275481,0.006,111
"ASV_1020",2,0.138127544097693,0.001,8
"ASV_1854",2,0.114285714285714,0.001,4
"ASV_3109",2,0.105947100797862,0.009,9
"ASV_5740",2,0.0936011744465544,0.012,11
"ASV_5739",2,0.0934347643258534,0.009,49
"ASV_147",2,0.0901106120614679,0.008,23
"ASV_6034",2,0.088816518253173,0.011,9
"ASV_1102",2,0.0857142857142857,0.008,3
"ASV_2514",2,0.0857142857142857,0.018,3
"ASV_2787",2,0.0857142857142857,0.01,3
"ASV_1103",2,0.0847326103216156,0.017,4
"ASV_4936",2,0.0820454240021502,0.03,5
"ASV_3416",2,0.0819526973010627,0.019,10
"ASV_2365",2,0.0814295298740737,0.027,24
"ASV_1523",2,0.0812489911061484,0.032,6
"ASV_6039",2,0.08018769894819,0.014,9
"ASV_3511",2,0.079712561373555,0.02,11
"ASV_4788",2,0.0784185658699278,0.017,5
"ASV_5452",2,0.077579527389815,0.015,16
"ASV_4101",2,0.0765772298767223,0.015,4
"ASV_2285",2,0.0752163880372781,0.037,34
"ASV_2707",2,0.0748839608045384,0.02,5
"ASV_5648",2,0.0697882040398541,0.041,34
"ASV_4059",2,0.0696675137277202,0.033,6
"ASV_5891",2,0.0614535735839296,0.031,5
"ASV_5070",2,0.0592715782471312,0.036,5
"ASV_3962",2,0.0590197477691399,0.032,10
"ASV_443",2,0.0544572075715904,0.046,5
"ASV_1021",2,0.053125,0.04,4
"ASV_3116",2,0.0513766104410183,0.047,7
"ASV_1009",3,0.628071876643073,0.001,29
"ASV_4205",3,0.342857142857143,0.001,12
"ASV_4126",3,0.323959035394151,0.001,25
"ASV_1012",3,0.313870093418308,0.001,13
"ASV_2134",3,0.257142857142857,0.001,9
"ASV_2137",3,0.257142857142857,0.001,9
"ASV_2144",3,0.257142857142857,0.001,9
"ASV_2150",3,0.257142857142857,0.001,9
