comparison,Z_Obs,P.adj_Obs,Z_Shan,P.adj_Shan,Z_Simp,P.adj_Simp
carnivore Coiba non-upwelling-invertivore Coiba non-upwelling,3.7218982281134005,0.0030318710574645446,3.6626818991060928,0.005298953763167641,3.230997924506805,0.0261900297150933
carnivore Coiba upwelling-invertivore Coiba non-upwelling,3.8884610976180016,0.0023202822249957645,2.7118507851163964,0.04735077546184561,NA,NA
carnivore Las Perlas non-upwelling-invertivore Coiba non-upwelling,4.512151315201159,5.903950805244367e-4,3.2649484369153194,0.015903992327644507,NA,NA
carnivore Las Perlas upwelling-invertivore Coiba non-upwelling,4.979599472622568,1.758561541420195e-4,3.7684816088206348,0.004533122909999223,2.982254462803543,0.04387388999406144
carnivore Coiba non-upwelling-invertivore Coiba upwelling,3.117639927417073,0.014376081627768003,3.3250982057929965,0.014349953672053899,NA,NA
carnivore Coiba upwelling-invertivore Coiba upwelling,3.2564668800146865,0.01111965462345142,NA,NA,NA,NA
carnivore Las Perlas non-upwelling-invertivore Coiba upwelling,3.9147385757829674,0.0022707827688028107,2.9658387831911064,0.0333251981001486,NA,NA
carnivore Las Perlas upwelling-invertivore Coiba upwelling,4.335978723068345,5.721597544977945e-4,3.4339515996925796,0.01172705077120959,NA,NA
carnivore Coiba non-upwelling-invertivore Las Perlas non-upwelling,2.992047797639608,0.019611064796172147,3.6945892512654215,0.005065578061992643,3.5352723356864684,0.01249222291622227
carnivore Coiba upwelling-invertivore Las Perlas non-upwelling,3.1275417100050453,0.014309366613121335,2.781936176820202,0.04386424601965642,NA,NA
carnivore Las Perlas non-upwelling-invertivore Las Perlas non-upwelling,3.7952026842604507,0.002714421138038196,3.317512423955005,0.013926174368333561,NA,NA
carnivore Las Perlas upwelling-invertivore Las Perlas non-upwelling,4.212247320300886,7.753836133257462e-4,3.797968401122133,0.004473865419495395,3.2940830750053625,0.02477559418824414
carnivore Coiba non-upwelling-invertivore Las Perlas upwelling,3.5819764247512285,0.00427805735897563,5.128476870295388,4.030921723728445e-5,5.1302165164522044,7.987691142466701e-5
carnivore Coiba upwelling-invertivore Las Perlas upwelling,3.7371376445914577,0.0032106915010098025,4.241772452087834,0.0012241233114728548,3.9492169582975127,0.0036067340579937525
carnivore Las Perlas non-upwelling-invertivore Las Perlas upwelling,4.36495953928177,7.018475232659844e-4,4.672305680161504,2.0550770349351416e-4,3.5408386717289044,0.013760579568167996
carnivore Las Perlas upwelling-invertivore Las Perlas upwelling,4.810831692379418,2.0741889381270472e-4,5.210669576936108,5.1932244422357507e-5,4.860236603354175,1.6179884860434716e-4
carnivore Las Perlas non-upwelling-omnivore Coiba non-upwelling,2.9406832448121607,0.0215207210526451,NA,NA,NA,NA
carnivore Las Perlas upwelling-omnivore Coiba non-upwelling,3.2561984667330712,0.01074637350252734,NA,NA,NA,NA
carnivore Las Perlas non-upwelling-omnivore Las Perlas non-upwelling,2.724362319203782,0.03419522478256771,NA,NA,NA,NA
carnivore Las Perlas upwelling-omnivore Las Perlas non-upwelling,3.0343847394042136,0.017506159605806697,NA,NA,NA,NA
carnivore Las Perlas non-upwelling-omnivore Las Perlas upwelling,2.892033392744228,0.023475778787108076,NA,NA,NA,NA
carnivore Las Perlas upwelling-omnivore Las Perlas upwelling,3.1918443875708284,0.01258626524173116,2.7979532185696963,0.04435627104565844,NA,NA
carnivore Las Perlas upwelling-planktivore Coiba non-upwelling,2.8058083984372817,0.02947358591670469,NA,NA,NA,NA
invertivore Coiba non-upwelling-planktivore Las Perlas non-upwelling,-2.7634229708213924,0.0315736224457482,NA,NA,NA,NA
