comparison,Z_Obs,P.adj_Obs,Z_Shan,P.adj_Shan,Z_Simp,P.adj_Simp
Abudefduf concolor Las Perlas upwelling-Acanthurus xanthopterus Coiba upwelling,2.866159743843398,0.043794315530763225,NA,NA,NA,NA
Abudefduf concolor Las Perlas upwelling-Chaetodon humeralis Coiba non-upwelling,3.5327987053457104,0.011878689970777675,NA,NA,NA,NA
Acanthurus xanthopterus Coiba non-upwelling-Chaetodon humeralis Coiba non-upwelling,2.9586510021319463,0.03707865804865045,NA,NA,NA,NA
Cephalopholis colonus Las Perlas upwelling-Chaetodon humeralis Coiba non-upwelling,2.9976160301680137,0.03537303343809025,NA,NA,NA,NA
Cephalopholis panamensis Las Perlas non-upwelling-Chaetodon humeralis Coiba non-upwelling,3.1690583612985463,0.024851723483586125,NA,NA,NA,NA
Cephalopholis panamensis Las Perlas upwelling-Chaetodon humeralis Coiba non-upwelling,2.873109954003809,0.04403236801712355,NA,NA,NA,NA
Abudefduf concolor Las Perlas upwelling-Chaetodon humeralis Coiba upwelling,2.8674963227204002,0.04420715309734185,NA,NA,NA,NA
Abudefduf concolor Las Perlas upwelling-Chaetodon humeralis Las Perlas upwelling,3.7098819510456607,0.010782507346221893,NA,NA,NA,NA
Acanthurus xanthopterus Coiba non-upwelling-Chaetodon humeralis Las Perlas upwelling,3.144739865861407,0.026461829948202245,3.985529345266869,0.01312932173541843,4.040618140232729,0.0069303651713253705
Cephalopholis colonus Las Perlas non-upwelling-Chaetodon humeralis Las Perlas upwelling,2.889008668951047,0.042455995429719076,3.8602748219760725,0.008031133207056737,3.7535765243579866,0.015108537570488113
Cephalopholis colonus Las Perlas upwelling-Chaetodon humeralis Las Perlas upwelling,3.1735728855538916,0.024989057606785912,3.903830553136363,0.01055028922011368,4.042833010520019,0.008238240203726262
Cephalopholis panamensis Las Perlas non-upwelling-Chaetodon humeralis Las Perlas upwelling,3.346319514336644,0.018250210982012727,3.6480447164271417,0.01288187819821463,NA,NA
Cephalopholis panamensis Las Perlas upwelling-Chaetodon humeralis Las Perlas upwelling,3.0612358015641465,0.03243996834859685,3.886369514328322,0.009921071704046438,4.0014761017043545,0.007014267430798886
Chaetodon humeralis Coiba non-upwelling-Epinephelus labriformis Coiba non-upwelling,-3.2782664326230173,0.02088935221652833,-3.3508348578830467,0.029925381237796794,NA,NA
Chaetodon humeralis Las Perlas upwelling-Epinephelus labriformis Coiba non-upwelling,-3.4596973875268238,0.014060351742994711,-4.399283511529572,0.0028238304112163585,-4.196055740616521,0.010592533774852548
Acanthurus xanthopterus Coiba upwelling-Epinephelus labriformis Coiba upwelling,-3.007016148704467,0.034878658125899624,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Epinephelus labriformis Coiba upwelling,-3.65971691920853,0.010365544220250988,NA,NA,NA,NA
Chaetodon humeralis Coiba upwelling-Epinephelus labriformis Coiba upwelling,-3.0083208997091115,0.035328027655965044,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Epinephelus labriformis Coiba upwelling,-3.831489332074454,0.008279043372725102,-3.103407607589882,0.04973954896531779,NA,NA
Acanthurus xanthopterus Coiba upwelling-Epinephelus labriformis Las Perlas non-upwelling,-3.1405366051781,0.025791790681929307,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Epinephelus labriformis Las Perlas non-upwelling,-3.7454111856601635,0.010034062300036757,NA,NA,NA,NA
Chaetodon humeralis Coiba upwelling-Epinephelus labriformis Las Perlas non-upwelling,-3.1417615999533286,0.026197815229234003,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Epinephelus labriformis Las Perlas non-upwelling,-3.9099236221601834,0.0072013741066277726,-3.9470962013260555,0.012340345321320806,NA,NA
Abudefduf concolor Las Perlas non-upwelling-Epinephelus labriformis Las Perlas upwelling,-3.6686417015954857,0.011188069078339262,NA,NA,NA,NA
Abudefduf troschelii Coiba non-upwelling-Epinephelus labriformis Las Perlas upwelling,-3.700273849172347,0.01049913799998121,NA,NA,NA,NA
Abudefduf troschelii Coiba upwelling-Epinephelus labriformis Las Perlas upwelling,-2.956855721192571,0.03673014176400842,NA,NA,NA,NA
Abudefduf troschelii Las Perlas non-upwelling-Epinephelus labriformis Las Perlas upwelling,-3.5100701471619207,0.012479679448667987,NA,NA,NA,NA
Abudefduf troschelii Las Perlas upwelling-Epinephelus labriformis Las Perlas upwelling,-3.646739404331897,0.010357972170966687,NA,NA,NA,NA
Acanthurus xanthopterus Coiba upwelling-Epinephelus labriformis Las Perlas upwelling,-4.049960242502114,0.004994567691377558,-3.4970726555217055,0.02038372700840603,NA,NA
Acanthurus xanthopterus Las Perlas non-upwelling-Epinephelus labriformis Las Perlas upwelling,-3.1806930046560606,0.02491307017768888,NA,NA,NA,NA
Cephalopholis colonus Coiba non-upwelling-Epinephelus labriformis Las Perlas upwelling,-3.314067551797518,0.019922346189145786,NA,NA,NA,NA
Chaetodon humeralis Coiba non-upwelling-Epinephelus labriformis Las Perlas upwelling,-4.733627750790793,8.601139678681017e-4,-3.504465800576399,0.02099229272441697,NA,NA
Chaetodon humeralis Coiba upwelling-Epinephelus labriformis Las Perlas upwelling,-4.051228232559253,0.005677227726995755,NA,NA,NA,NA
Chaetodon humeralis Las Perlas non-upwelling-Epinephelus labriformis Las Perlas upwelling,-2.9176090530365926,0.03987340593965912,NA,NA,NA,NA
Chaetodon humeralis Las Perlas upwelling-Epinephelus labriformis Las Perlas upwelling,-4.877449200029558,8.382387995270758e-4,-4.520470538487979,0.002406390949492908,-3.876221578413558,0.010343880230062807
Abudefduf concolor Las Perlas upwelling-Johnrandallia nigrirostris Coiba non-upwelling,2.912638168792981,0.03993484224860915,NA,NA,NA,NA
Epinephelus labriformis Coiba upwelling-Johnrandallia nigrirostris Coiba non-upwelling,3.0544322132450015,0.03197815147298666,NA,NA,NA,NA
